age,p_injury,cases,population,,
0,7.59144E-06,465,61253169,,
4,7.59144E-06,465,61253169,,
9,3.00753E-05,1964,65302833,,
14,5.0614E-05,3351,66207030,,
19,5.13196E-05,3323,64751125,,
24,5.05453E-05,3087,61073881,,
29,4.35637E-05,2436,55918142,,
34,3.46223E-05,1780,51411908,,
39,2.48456E-05,1191,47936063,,
44,1.97744E-05,887,44856011,,
49,1.65243E-05,675,40849005,,
54,1.47801E-05,515,34844093,,
59,5.75704E-06,364,63226936,,
64,8.75774E-06,244,27861056,,
69,8.51172E-06,180,21147320,,
74,6.39868E-06,98,15315655,,
79,4.74151E-06,50,10545165,,
84,3.25532E-06,22,6758172,,
110,2.61095E-06,17,6511047,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,